  ,drug_ bank_id,drug_name,brand_name,pharmaceutical_company,treatment_type,status,comments,,,,,,,,,,,,,,,,,,,,
DR0001,DB14910,"
Mirikizumab",,Eli Lily,"
Protein Based Therapies
Monoclonal antibody (mAb)","Approved, Investigational","
Mirikizumab is a monoclonal antibody developed by Eli Lilly intended to treat ulcerative colitis. It inhibits the actions of interleukin-23 (IL-23), a pro-inflammatory cytokine that activates pathways contributing to the development of inflammatory diseases",,,,,,,,,,,,,,,,,,,,
DR0002,DB01250,"
Olsalazine","
Dipentum","
Alaven Pharmaceutical,
Pfizer Inc.
Pharmacia Inc.
UCB Pharma","
Small Molecule","
Approved","
Olsalazine is an aminosalicylate and a prodrug of mesalamine (5-aminosalicylic acid, 5-ASA).It was first developed for delivering mesalamine to the colon without the use of sulfapyridine.Olsalazine is an anti-inflammatory agent that works by inhibiting cyclooxygenase and lipoxygenase, subsequently reducing the production of pro-inflammatory factors like prostaglandin and leukotriene",,,,,,,,,,,,,,,,,,,,
DR0003,DB00795,"
Sulfasalazine","
Azulfidine, Salazopyrin, Salazopyrin En-tabs","Pharmacia and upjohn co
Vintage pharmaceuticals inc
Watson laboratories inc
Solvay pharmaceuticals
Heritage pharmaceuticals inc
Mutual pharmaceutical co inc
Sandoz inc
Superpharm corp","
Small Molecule",Approved,"Sulfasalazine is an anti-inflammatory drug structurally related to salicylates and other non-steroidal anti-inflammatory drugs. It is indicated for managing inflammatory diseases such as ulcerative colitis and rheumatoid arthritis (RA).16,10 Metabolized by intestinal bacteria, sulfasalazine is broken down into mesalazine and sulfapyridine, 2 compounds that carry out the main pharmacological activity of sulfasalazine.10

",,,,,,,,,,,,,,,,,,,,
DR0004,DB15634,Temelimab,NA,NA,"
Protein Based Therapies
Monoclonal antibody (mAb)",Investigational,"
Temelimab is under investigation in clinical trial NCT02782858 (Clinical Trial Assessing the HERV-W Env Antagonist Gnbac1 for Efficacy in MS).",,,,,,,,,,,,,,,,,,,,
DR0005,DB08880,"
Teriflunomide",Aubagio,NA,"
Small Molecule","
Approved","Teriflunomide is the active metabolite of leflunomide, and it acts as an immunomodulatory agent by inhibiting pyrimidine synthesis. It is marketed under the name Aubagio® and is indicated for the treatment of multiple sclerosis, specifically relapsing forms. The FDA label states an important warning about the risk of hepatoxicity and teratogenicity for patients using teriflunomide.",,,,,,,,,,,,,,,,,,,,
DR0006,DB09122,"
Peginterferon beta-1a","
Plegridy",NA,"
Protein Based Therapies
Interferons","
Approved","Peginterferon beta-1a likely reduces MS relapses and the progression of disability and brain lesions associated with MS by reducing inflammation.8,4 Specifically, IFN-beta decreases antigen presentation and T-cell proliferation. In addition, it modifies cytokine and matrix metalloproteinase (MMP) expression while restoring suppressor function",,,,,,,,,,,,,,,,,,,,
DR0007,DB01306,Insulin aspart,"Fiasp, Novolog, Novolog Mix, Novomix, Novorapid, Novorapid Penfill, Ryzodeg","
Novo Nordisk Inc.
Physicians Total Care Inc.","
Protein Based Therapies",Approved,Insulin aspart is a rapid-acting form of insulin used for glycemic control in type 1 and type 2 diabetes mellitus.,,,,,,,,,,,,,,,,,,,,
DR0008,DB01309,Insulin glulisine,"
Apidra",Sanofi-Aventis Inc.,"
Protein Based Therapies",Approved,"
Insulin glulisine is a short-acting form of insulin used for glycemic control in type 1 and type 2 diabetes mellitus.",,,,,,,,,,,,,,,,,,,,
DR0009,DB00350,Minoxidil,"
Loniten, Minox, Regoxidine, Rogaine","
Johnson and johnson group consumer companies,
Actavis mid atlantic llc,
Bausch and lomb pharmaceuticals inc,
Copley pharmaceutical inc","
Small Molecule",Approved,"
For the treatment of severe hypertension and in the topical treatment (regrowth) of androgenic alopecia in males and females and stabilisation of hair loss in patients with androgenic alopecia",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
