disease_uid	entrezID	source	url
AID00007	474234	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474234
AID00017	811	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/811
AID00007	2350	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2350
AID00012	2617	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2617
AID00001	146198	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/146198
AID00007	474229	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474229
AID00044	115352	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/115352
AID00017	115352	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/115352
AID00007	115352	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/115352
AID00010	4680	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4680
AID00044	7038	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7038
AID00014	7038	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7038
AID00017	2213	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2213
AID00041	51667	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/51667
AID00041	2941	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2941
AID00041	5071	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5071
AID00007	474221	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474221
AID00007	474221	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474221
AID00049	2743	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2743
AID00007	474223	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474223
AID00014	1734	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1734
AID00007	3037	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3037
AID00021	1041	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1041
AID00021	729163	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/729163
AID00033	350	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/350
AID00030	55054	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/55054
AID00017	2621	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2621
AID00007	55713	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/55713
AID00007	474245	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474245
AID00045	4893	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4893
AID00047	4893	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4893
AID00007	23765	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/23765
AID00007	7412	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7412
AID00041	25897	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/25897
AID00017	356	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/356
AID00012	54915	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/54915
AID00020	727701	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/727701
AID00014	26191	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/26191
AID00017	26191	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/26191
AID00007	26191	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/26191
AID00005	26191	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/26191
AID00010	345611	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/345611
AID00007	151888	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/151888
AID00001	4650	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4650
AID00009	4650	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4650
AID00007	474250	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474250
AID00017	2302	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2302
AID00041	2905	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2905
AID00041	2905	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2905
AID00021	84561	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/84561
AID00031	5993	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5993
AID00007	7919	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7919
AID00007	7919	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7919
AID00007	23274	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/23274
AID00002	23274	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/23274
AID00021	2171	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2171
AID00031	4261	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4261
AID00007	4261	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4261
AID00002	4261	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4261
AID00030	183	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/183
AID00011	5650	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5650
AID00041	112755	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/112755
AID00030	57217	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/57217
AID00021	3605	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3605
AID00007	3605	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3605
AID00002	3605	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3605
AID00009	7052	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7052
AID00041	2932	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2932
AID00002	2550	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2550
AID00009	117289	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/117289
AID00007	117289	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/117289
AID00002	117289	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/117289
AID00041	11315	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/11315
AID00007	474242	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474242
AID00017	6775	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6775
AID00007	6775	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6775
AID00007	474247	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474247
AID00005	10240	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10240
AID00021	100507436	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100507436
AID00017	7100	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7100
AID00036	7252	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7252
AID00021	54620	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/54620
AID00011	23197	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/23197
AID00007	3586	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3586
AID00012	3035	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3035
AID00015	8807	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/8807
AID00009	8807	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/8807
AID00010	8807	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/8807
AID00030	8807	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/8807
AID00007	683	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/683
AID00021	6347	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6347
AID00007	6347	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6347
AID00035	10111	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10111
AID00017	6737	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6737
AID00041	7019	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7019
AID00007	474227	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474227
AID00007	474227	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474227
AID00048	114548	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/114548
AID00011	6356	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6356
AID00007	474226	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474226
AID00009	10019	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10019
AID00017	10125	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10125
AID00007	11167	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/11167
AID00022	1378	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1378
AID00017	1378	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1378
AID00007	474236	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474236
AID00007	474240	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474240
AID00023	10534	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/10534
AID00023	55816	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/55816
AID00007	727	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/727
AID00041	63928	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/63928
AID00002	11240	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/11240
AID00018	80271	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/80271
AID00049	2741	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2741
AID00021	100270673	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100270673
AID00021	100270673	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100270673
AID00015	3595	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3595
AID00010	3595	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3595
AID00021	241	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/241
AID00021	241	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/241
AID00014	11116	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/11116
AID00010	11116	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/11116
AID00028	11116	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/11116
AID00015	4049	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4049
AID00041	120892	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/120892
AID00044	57623	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/57623
AID00041	6622	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6622
AID00017	6741	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6741
AID00017	55024	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/55024
AID00017	721	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/721
AID00021	50604	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/50604
AID00001	51208	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/51208
AID00017	55340	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/55340
AID00017	6628	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6628
