disease_uid	entrezID	data_source	url	relav_score
AID00008	100	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA	3.98
AID00002	361	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP4	3.42
AID00033	350	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=APOH	21.08
AID00008	350	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=APOH	9.77
AID00017	350	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=APOH	9.04
AID00022	1636	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE	24.96
AID00022	1636	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE	9.36
AID00018	133	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM	3.31
AID00044	35	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADS	6.12
AID00003	326	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE	21.82
AID00006	326	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE	21.04
AID00044	326	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE	8.62
AID00041	126	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH1C	18.7
AID00041	126	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH1C	16
AID00033	308	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5	6.35
AID00021	374	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AREG	9.34
AID00033	11093	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS13	13.65
AID00030	183	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT	3.99
AID00049	18	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ABAT	12.58
AID00035	472	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM	15.88
AID00021	241	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5AP	14.16
AID00035	57379	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AICDA	7.27
AID00020	4287	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN3	11.02
AID00011	100532737	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1G2-DDX39B	4.98
AID00011	114477	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD6	9.52
AID00011	117187	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD3	11.34
AID00011	117188	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOD5	10.43
AID00049	273	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPH	2.58
AID00007	54	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5	3.24
AID00016	250	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPP	8.54
AID00030	55054	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1	19.76
AID00010	55054	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1	1.5
AID00041	23400	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP13A2	13.33
AID00043	309	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA6	4.03
AID00041	10159	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP2	20
AID00020	170547	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=AIMP1P1	7.27
AID00016	80117	GeneCards	http://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL14	11.46
