disease_uid1	disease_uid2	shared_genes_count	associated_genes_disease1	associated_genes_disease2	pct1	pct2
AID00001	AID00002	249	680	977	25.4862	36.6176
AID00001	AID00003	13	680	25	1.91176	52
AID00001	AID00005	94	680	291	13.8235	32.3024
AID00001	AID00006	52	680	91	7.64706	57.1429
AID00001	AID00007	343	680	1324	25.9063	50.4412
AID00001	AID00008	69	680	123	10.1471	56.0976
AID00001	AID00009	116	680	304	17.0588	38.1579
AID00001	AID00010	380	680	788	48.2234	55.8824
AID00001	AID00011	132	680	394	19.4118	33.5025
AID00001	AID00012	57	680	111	8.38235	51.3514
AID00001	AID00013	6	680	31	0.882353	19.3548
AID00001	AID00014	73	680	188	10.7353	38.8298
AID00001	AID00015	85	680	177	12.5	48.0226
AID00001	AID00016	76	680	181	11.1765	41.9889
AID00001	AID00017	251	680	876	28.653	36.9118
AID00001	AID00018	43	680	88	6.32353	48.8636
AID00001	AID00019	45	680	90	6.61765	50
AID00001	AID00020	34	680	103	5	33.0097
AID00001	AID00021	233	680	709	32.8632	34.2647
AID00001	AID00022	127	680	262	18.6765	48.4733
AID00001	AID00023	176	680	469	25.8824	37.5267
AID00001	AID00024	19	680	43	2.79412	44.186
AID00001	AID00025	119	680	257	17.5	46.3035
AID00001	AID00026	31	680	48	4.55882	64.5833
AID00001	AID00028	89	680	226	13.0882	39.3805
AID00001	AID00029	28	680	50	4.11765	56
AID00001	AID00030	356	680	843	42.2301	52.3529
AID00001	AID00031	6	680	31	0.882353	19.3548
AID00001	AID00032	61	680	124	8.97059	49.1936
AID00001	AID00033	51	680	96	7.5	53.125
AID00001	AID00034	5	680	9	0.735294	55.5556
AID00001	AID00035	8	680	23	1.17647	34.7826
AID00001	AID00036	47	680	105	6.91176	44.7619
AID00001	AID00037	8	680	26	1.17647	30.7692
AID00001	AID00038	65	680	217	9.55882	29.9539
AID00001	AID00039	16	680	73	2.35294	21.9178
AID00001	AID00041	81	680	475	11.9118	17.0526
AID00001	AID00043	3	680	14	0.441176	21.4286
AID00001	AID00044	1	680	15	0.147059	6.66667
AID00001	AID00045	11	680	25	1.61765	44
AID00001	AID00047	13	680	26	1.91176	50
AID00001	AID00048	3	680	11	0.441176	27.2727
AID00001	AID00049	1	680	12	0.147059	8.33333
AID00001	AID00053	11	680	20	1.61765	55
AID00002	AID00003	13	977	25	1.3306	52
AID00002	AID00005	107	977	291	10.9519	36.7698
AID00002	AID00006	64	977	91	6.55067	70.3297
AID00002	AID00007	439	977	1324	33.1571	44.9335
AID00002	AID00008	78	977	123	7.98362	63.4146
AID00002	AID00009	130	977	304	13.306	42.7632
AID00002	AID00010	284	977	788	29.0686	36.0406
AID00002	AID00011	157	977	394	16.0696	39.8477
AID00002	AID00012	63	977	111	6.44831	56.7568
AID00002	AID00013	11	977	31	1.1259	35.4839
AID00002	AID00014	98	977	188	10.0307	52.1277
AID00002	AID00015	104	977	177	10.6448	58.7571
AID00002	AID00016	89	977	181	9.10952	49.1713
AID00002	AID00017	335	977	876	34.2886	38.242
AID00002	AID00018	41	977	88	4.19652	46.5909
AID00002	AID00019	55	977	90	5.62948	61.1111
AID00002	AID00020	49	977	103	5.01535	47.5728
AID00002	AID00021	270	977	709	27.6356	38.0818
AID00002	AID00022	159	977	262	16.2743	60.687
AID00002	AID00023	198	977	469	20.2661	42.2175
AID00002	AID00024	26	977	43	2.66121	60.4651
AID00002	AID00025	129	977	257	13.2037	50.1946
AID00002	AID00026	38	977	48	3.88946	79.1667
AID00002	AID00028	109	977	226	11.1566	48.2301
AID00002	AID00029	22	977	50	2.25179	44
AID00002	AID00030	285	977	843	29.1709	33.8078
AID00002	AID00031	8	977	31	0.818833	25.8065
AID00002	AID00032	78	977	124	7.98362	62.9032
AID00002	AID00033	53	977	96	5.42477	55.2083
AID00002	AID00034	6	977	9	0.614125	66.6667
AID00002	AID00035	10	977	23	1.02354	43.4783
AID00002	AID00036	55	977	105	5.62948	52.381
AID00002	AID00037	11	977	26	1.1259	42.3077
AID00002	AID00038	76	977	217	7.77891	35.023
AID00002	AID00039	25	977	73	2.55885	34.2466
AID00002	AID00041	133	977	475	13.6131	28
AID00002	AID00043	5	977	14	0.511771	35.7143
AID00002	AID00044	4	977	15	0.409417	26.6667
AID00002	AID00045	12	977	25	1.22825	48
AID00002	AID00046	1	977	2	0.102354	50
AID00002	AID00047	16	977	26	1.63767	61.5385
AID00002	AID00048	4	977	11	0.409417	36.3636
AID00002	AID00049	2	977	12	0.204708	16.6667
AID00002	AID00053	10	977	20	1.02354	50
AID00003	AID00005	10	25	291	3.43643	40
AID00003	AID00006	8	25	91	8.79121	32
AID00003	AID00007	16	25	1324	1.20846	64
AID00003	AID00008	7	25	123	5.69106	28
AID00003	AID00009	10	25	304	3.28947	40
AID00003	AID00010	11	25	788	1.39594	44
AID00003	AID00011	10	25	394	2.53807	40
AID00003	AID00012	2	25	111	1.8018	8
AID00003	AID00013	1	25	31	3.22581	4
AID00003	AID00014	9	25	188	4.78723	36
AID00003	AID00015	7	25	177	3.9548	28
AID00003	AID00016	8	25	181	4.41989	32
AID00003	AID00017	13	25	876	1.48402	52
AID00003	AID00019	7	25	90	7.77778	28
AID00003	AID00020	4	25	103	3.8835	16
AID00003	AID00021	13	25	709	1.83357	52
AID00003	AID00022	11	25	262	4.19847	44
AID00003	AID00023	11	25	469	2.34542	44
AID00003	AID00024	2	25	43	4.65116	8
AID00003	AID00025	10	25	257	3.89105	40
AID00003	AID00026	2	25	48	4.16667	8
AID00003	AID00028	12	25	226	5.30973	48
AID00003	AID00029	4	25	50	8	16
AID00003	AID00030	15	25	843	1.77936	60
AID00003	AID00031	1	25	31	3.22581	4
AID00003	AID00032	8	25	124	6.45161	32
AID00003	AID00033	6	25	96	6.25	24
AID00003	AID00036	9	25	105	8.57143	36
AID00003	AID00037	1	25	26	3.84615	4
AID00003	AID00038	4	25	217	1.84332	16
AID00003	AID00041	4	25	475	0.842105	16
AID00003	AID00044	1	25	15	4	6.66667
AID00003	AID00045	3	25	25	12	12
AID00003	AID00047	1	25	26	3.84615	4
AID00003	AID00049	2	25	12	8	16.6667
AID00003	AID00053	1	25	20	4	5
AID00005	AID00006	39	291	91	13.4021	42.8571
