disease_uid	externalDB	url
AID00001	OMIM: 191390	http://omim.org/entry/191390
AID00001	DiseaseDB: 13495	http://www.diseasesdatabase.com/ddb13495.htm
AID00001	DiseaseOntology: 9016	http://disease-ontology.org/
AID00001	MeSH: D003093	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D003093
AID00001	WikiPedia	http://en.wikipedia.org/wiki/Ulcerative_colitis
AID00002	OMIM: 126200	http://omim.org/entry/126200
AID00002	DiseaseDB: 8412	http://www.diseasesdatabase.com/ddb8412.htm
AID00002	DiseaseOntology: 2377	http://disease-ontology.org/
AID00002	MeSH: D009103	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D009103
AID00002	WikiPedia	http://en.wikipedia.org/wiki/Multiple_sclerosis
AID00003	OMIM: 240300	http://omim.org/entry/240300
AID00003	OMIM: 269200	http://omim.org/entry/269200
AID00003	DiseaseDB: 29212	http://www.diseasesdatabase.com/ddb29212.htm
AID00003	DiseaseDB: 29690	http://www.diseasesdatabase.com/ddb29690.htm
AID00003	DiseaseOntology: 14040	http://disease-ontology.org/
AID00003	MeSH: D016884	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D016884
AID00003	WikiPedia	https://en.wikipedia.org/wiki/Autoimmune_polyendocrine_syndrome
AID00004	OMIM: 269200	http://omim.org/entry/269200
AID00004	DiseaseDB: 29690	http://www.diseasesdatabase.com/ddb29690.htm
AID00004	DiseaseOntology: 0050168	http://disease-ontology.org/
AID00004	MeSH: D016884	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D016884
AID00004	WikiPedia	https://en.wikipedia.org/wiki/Autoimmune_polyendocrine_syndrome_type_2
AID00005	OMIM: 222100	http://omim.org/entry/222100
AID00005	DiseaseDB: 3649	http://www.diseasesdatabase.com/ddb3649.htm
AID00005	DiseaseOntology: 9744	http://disease-ontology.org/
AID00005	MeSH: D000305	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D000305
AID00005	WikiPedia	https://en.wikipedia.org/wiki/Diabetes_mellitus_type_1
AID00006	OMIM: 104000	http://omim.org/entry/104000
AID00006	DiseaseDB: 430	http://www.diseasesdatabase.com/ddb430.htm
AID00006	DiseaseOntology: 986	http://disease-ontology.org/
AID00006	MeSH: D000506	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D000506
AID00006	WikiPedia	https://en.wikipedia.org/wiki/Alopecia_areata
AID00007	OMIM: 180300	http://omim.org/entry/180300
AID00007	DiseaseDB: 11506	http://www.diseasesdatabase.com/ddb11506.htm
AID00007	DiseaseOntology: 7148	http://disease-ontology.org/
AID00007	MeSH: D001172	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D001172
AID00007	WikiPedia	http://en.wikipedia.org/wiki/Rheumatoid_arthritis
AID00008	OMIM: 109650	http://omim.org/entry/109650
AID00008	DiseaseDB: 1285	http://www.diseasesdatabase.com/ddb1285.htm
AID00008	DiseaseOntology: 13241	http://disease-ontology.org/
AID00008	MeSH: D001528	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D001528
AID00008	WikiPedia	https://en.wikipedia.org/wiki/Beh%C3%A7et%27s_disease
AID00009	OMIM: 212750	http://omim.org/entry/212750
AID00009	DiseaseDB: 2922	http://www.diseasesdatabase.com/ddb2922.htm
AID00009	DiseaseOntology: 10608	http://disease-ontology.org/
AID00009	MeSH: D002446	https://www.nlm.nih.gov/cgi/mesh/2015/MB_cgi?field=uid&term=D002446
AID00009	WikiPedia	https://en.wikipedia.org/wiki/Coeliac_disease
AID00010	OMIM: 266600	http://omim.org/entry/266600
AID00010	DiseaseDB: 3178	http://www.diseasesdatabase.com/ddb3178.htm
AID00010	DiseaseOntology: 8942	http://disease-ontology.org/
